id,radiology_center_id,first_name,last_name,national_id,phone_number,password
1,1,Melissa,Lawson,6489975291,6938641862,$2b$12$CHh1MXjvW.vaQ/jxvO3p5OJXfdBhyr/BzQHchrzbWvfZ2MxBIkoGW
2,1,Antonio,Taylor,4364321447,250.965.4406x931,$2b$12$6IHNy70Dr9SKUAawO.VGWOr65Wdx487luLrmvVRYpMD9kO5m5ehNK
3,2,Kenneth,Wilson,8861238665,(318)259-7038,$2b$12$vaQiD8NNjFyMvufEds7ipOheiUXdraWlq9SGQjJmUcHc1MqjyvUAW
4,2,Kim,Hayes,5407719435,+1-236-512-9650x66314,$2b$12$H5qQEyoRj3tQCQbIwSHzge78q4w.WbVmb7iamtPM0q80O3ILj4Huu
5,2,Susan,Frank,6549929384,+1-878-864-8120,$2b$12$SeYRZG5skVxiziWLyVafcOEo.cJZCRrhaZJ4nSHDxuBgWN8Cv8hX.
6,2,Michael,Chavez,7399262153,865-321-8839x8869,$2b$12$bByTkMYUAxq7jHymCxI3RuTqdlLNSFA.tarqUMmqfoZUIb.YwAuAe
7,3,Joseph,Potter,4663119860,530-978-9540x376,$2b$12$Jeod.zCNmvZnK0ZrySqBs.4.wIQ/Djmlk1cPJx/K9oS1DhMT.sD4i
8,3,Steven,Wiley,3997326132,001-488-339-6510x8763,$2b$12$oMEzVZDZT50UmLjXoPXkUu45so5xNp8Hoq707wQCxA42jFMzf58EK
9,3,Charles,Gillespie,4609406814,001-201-546-1503,$2b$12$tiOO.2PqUgY7NjCUj7AcIeFhaiPPoNwPY3K8j7KAz0hT0L94vDUgK
10,4,Luke,Johnson,1087921495,731.972.2893,$2b$12$hL5BrFOmcB6hGiMILQsHre5PfUkZNY94KOYCkO8Lu6.X/VnB26a7e
11,4,Kimberly,Miranda,1009418301,001-517-457-1719,$2b$12$3K5gMXVGmegDVYwdHZjo2O.PcIWBXNDR42xcawzRguvZBrzAATNwi
12,4,Valerie,Price,6699056708,+1-565-377-2053x0426,$2b$12$lJLAux9knOBovinVC0PhX.2JTaGORtIVI2M.fGGmMy4GZ5U2Kvbwe
13,5,Monica,Watkins,1445863504,(426)560-6212x5320,$2b$12$8ytb3FmSDP0f6QWWMnoK/uB2XKL2bTp49uPYcGzdRt7Y8RNIWVaDa
14,5,Scott,Williams,3496070428,336-367-4342,$2b$12$F7p.xKVGi7wmmbfZ.ZLApOq7tLxgRo.Ss2X6/Kl4HHxOUnP2j2DqC
15,5,Veronica,Glass,1501296858,(575)488-5437x991,$2b$12$HwkbkgEQ19SYZWZ2lDbVEO5WfzOai3QVm23mpNRGx0pcfTy5CXTvS
16,5,Kristina,Chambers,4306215359,474-975-3187x23651,$2b$12$.TBma3LeHBpg/idMpEHPgOv2Em3WqXTyQebN1EKSpq/QVou6iGSGG
17,6,Amanda,Young,6632471405,294-450-5669,$2b$12$IIFvdag3736RJI1F8LPUG.0dyLQvj.UBEUhzCQLCdx37OLl2Zlwfa
18,6,Charles,Reynolds,3328289968,374.974.1647,$2b$12$pNWzHfKyzIgDOlQVAORBXeFCPA8eVqcjIMokT2fSLUUzaDaegae/.
19,6,Alexandra,Harris,8726015856,(698)976-0133x67554,$2b$12$75TQl3KSFhnsFV2SUtMdO.p6nEzYck84M.wY3FqhLL0aErKxbUmYm
20,6,Thomas,Woodard,9936428538,(681)297-4333,$2b$12$iNxQQFtUnAuUj2/JkrA5dOFflrNlHOrT3j9t33SOHFxJJpr01pp2a
21,7,Robert,Simon,5060070466,001-600-622-8963x22452,$2b$12$fdLonA/qbhg/uSlnb7f3ceO0p7N0NaEOavPp7yWTNq3/z7TDrm54e
22,7,Daniel,Ryan,0386986343,(818)615-8363x49838,$2b$12$7mcGTTLfAgSWnTx3J4sh5O5CR2icWZpDSQJJIh2zVZ9xGFNezBFDq
23,7,John,Stevenson,9526459348,929-918-3717x262,$2b$12$oFk35Y1hS2s5xl6VMAxsWe0r8wnt29UC6yurZXMkK0ANNCT89eywy
24,7,Stacey,Cooper,8345360401,284-537-7292x0015,$2b$12$d0AV2DCoZL017PeYlCwqH.KUMc1/vC.KAz.BbQRKl.CwaQtMzYQLK
25,8,Sharon,Greene,3011087636,+1-945-950-6045,$2b$12$6RtALIaw00l2ZQLuE6JSye1Jnloduf4H93Ubx1vjimVJkHkNBWMqS
26,8,Jesse,Salazar,9449768242,557-523-0055x079,$2b$12$X7Cx9tSPU4jtwHbg2kC57.ap3NGuOYt/Pt1GRuEPeno8pbG5odAFC
27,8,Spencer,Thompson,4065682771,001-859-358-8224,$2b$12$SN5Ri8sixfxcKMzc.Ix4YuBzJ0ON.W3wmr7BBjUlDAskIA.go99fO
28,8,Alexander,Sherman,7894723380,+1-795-234-6426x44821,$2b$12$NI8ErQ5sax7FCDZGEtM7PuwQfhTeB3ORzGSEYefQ6sXCEbAdLX0LK
29,9,Darius,Mcgrath,4674536999,9536632867,$2b$12$RAm4LZ.EZcWifIIkKNAHMO6AOo0ISOEE.ofByIxj.l.Wvs8A4VDOC
